table,category,row_count,column_count,code_like_columns
patients,ERROR,-,-,no columns found — check the table name
admissions,ERROR,-,-,no columns found — check the table name
mstpatientregistration,patients,929644,27,"ID, UHID, NAME, AGETYPE, AREACODE, CITYCODE, STATECODE, COUNTRYCODE, DISTRICTCODE, DEPARTMENTID, DOCID, REFDOCID, LOCATIONID, USERID, TERMINALID, OLDREFID"
tblclientdocinfo,patients,241,17,"ID, ORGCODE, CDOCID, CDOCNAME, CREATEUSERID, EDITUSERID, TERMINALID, EDITTERMINALID, LCODE, UserName"
trnmergeddocbilldtls_referral,billing,42840,9,"ID, ACTUALDOCID, DOCID, CREATEUSERID, LOCATIONID, TERMINALID"
trnpurchaseorder,inventory,2433,36,"POID, SupCode, InvTypeID, POStatus, POTYPE, CreditPeriodType, UserID, EditUserID, TerminalID, EditTerminalID, LocationID, deliveryContactName"
mstlocationusers,staff,4317,3,"Id, UserId, LOCATIONID"
trninvoicepayments,billing,20965,28,"PAYMENTID, ORGCODE, MODE, CCTYPE, TRANSID, CREATEUSERID, TERMINALID, EDITUSERID, EDITTERMINALID, LOCATIONID"
mstmethod,labs,42,10,"ID, CREATEUSERID, TERMINALID, EDITUSERID, EDITTERMINALID, LOCATIONID"
mstantibiotics,labs,3,10,"ANTIPARAMID, ANTIPARAMNAME, LOCATIONID, TERMINALID, EDITTERMINALID"
mstworkstations,labs,44,11,"ID, WorkStationID, WorkStationName, LocationID, CREATEUSERID, EDITUSERID, TERMINALID, EDITTERMINALID, UserLocationID"
mstappbookingno,admissions,3,13,"ID, BookingType, BookingName, LOCATIONID, TERMINALID, EDITTERMINALID"
mstappbookingslots,admissions,2,19,"ID, DEPARTMENTID, LOCATIONID, TERMINALID, EDITTERMINALID"
cc_invoice,billing,0,16,
cc_invoicenew,billing,0,16,
daycollection_mobileapp,billing,0,28,
mstappadditionalcharges,billing,3,13,"ID, ChargeType, LOCATIONID, TERMINALID, EDITTERMINALID"
mstccinvestigationrates,billing,0,12,
mstdocdeptinvdiscount,billing,0,15,
mstheaderpaytype,billing,9,3,"HeaderId, Type, HeaderName"
mstinvoicesliptext,billing,6,4,"ID, LOCATIONID, TYPE"
mstmemplanswiseadditionalcharges,billing,2,13,"ID, PlanCode, ChargeID, LOCATIONID, TERMINALID, EDITTERMINALID"
mstorgdeptdiscount,billing,0,11,
mstpaymentdetails,billing,2361,10,"PaymentId, OrgCode, PaymentType, OrderId, Status"
msttallyledgermaster,billing,121,20,"ID, LocationID, TTYpe, VType, LType"
msttallyledgertypeinfo,billing,0,4,
msttallyregledger,billing,992281,17,"VType, LEDID, BillType, AutoId, BillsType, LocationId"
msttariffupdations,billing,0,7,
msttariffupdations_storecproc,billing,0,7,
msttempapppaymentdtls,billing,240,33,"CouponCode, BankName, BankTxnId, GateWayName, MID, OrderId, PaymentMode, Status, TxnId, PaymentGatewayType, Tempid, PaymentStatus, Name, Mode, Agetype, AgentId, PaymentType"
msttemptallyregledger,billing,155,15,"VType, LEDID, BillType, AutoId, BillsType, LocationId"
paymentgatewayresponse,billing,0,34,
tarifftable,billing,0,3,
tblappagentassignbill,billing,6,20,"id, agentId, areaId, tokenStatus"
tblapprepocharges,billing,2,6,"id, chargeType"
tblcreditperiodgen,billing,0,18,
tblinvoicesms,billing,0,13,
tbltempledger,billing,0,13,
tbltempledgerorg,billing,35,12,"ORGANISATIONCODE, ORGANISATIONNAME, UserName"
trnacntvoupaymntmodeofcolctndetails,billing,0,14,
trnbillingcycleinvoicegeneration,billing,0,15,
trnbillingcyclerates,billing,0,11,
trncc_cshcrypayments,billing,0,15,
trncc_cshcrypaymodedetails,billing,0,14,
trnccinvoicegeneration,billing,0,14,
trnccpayments,billing,70,25,"CCPayID, CCODE, Mode, UserID, EditUserID, TerminalID, EditTerminalID, LocationID, PayType"
trnccpayments1,billing,0,23,
trnccpaymodedetails,billing,0,15,
trncomppayments,billing,27096,24,"CompPayID, ORGCODE, Mode, UserID, EditUserID, TerminalID, EditTerminalID, LocationID, PayType, TxnId"
trncomppaymentsrenova,billing,10,24,"CompPayID, ORGCODE, Mode, UserID, EditUserID, TerminalID, EditTerminalID, LocationID, PayType, TxnId"
