table,row_count,category,reasoning
mstAppBookingNo,3,admissions,booking number definitions
mstAppBookingSlots,2,admissions,booking slot schedule
trnInvStatus,3467507,billing,invoice status tracking
trnMODEOFCOLLECTIONSDET,2068747,billing,collection mode details
mstTallyRegLedger,992281,billing,ledger entries
trnReferalManagementDET,939839,billing,referral bill details
trnReferalMgmtBillDtls,667701,billing,referral bill details
trnInvPayDetails,664191,billing,invoice payment details
trnReferalManagementPRI,123282,billing,primary referral management
trnReferalPayments,122171,billing,referral payments
mstRefDoc,65533,billing,reference document for billing
trnMergedDocBillDtls_Referral,42840,billing,merged doc referral billing
trnMergedDocBillDtls,40548,billing,merged document billing
trnCompPayments,27096,billing,company payments (retry)
trnInvoiceGeneration,23511,billing,invoice creation data
trnInvoicePayments,20965,billing,payment transaction details
trnCompPayModeDetails,16266,billing,payment mode details
trnPayModeChangeLog,11770,billing,payment mode change log
trnDelCreditBill,9074,billing,deleted credit bill
trnInvStatusUpdateLog,4186,billing,invoice status update log
trnTrackCreditAmts_New,3090,billing,credit amount tracking (retry)
mstPaymentDetails,2361,billing,payment transaction records
trnReferalMgmtBillDtls_Del,2350,billing,deleted referral bill details
trnReferalManagementDET_Delete,2137,billing,deleted referral bill details
trnReferalPartialPayments,1322,billing,partial payments
trnCCOutRptRemarks,894,billing,billing remarks (retry)
mstTempAppPaymentdtls,240,billing,payment details
trnReferalManagementPRI_Del,183,billing,deleted primary referral
trnTempDayCollAll,183,billing,daily collection summary (retry)
msttempTallyRegLedger,155,billing,ledger entries
mstTallyLedgerMaster,121,billing,ledger master
trnReferalPayments_Del,77,billing,deleted referral payments
trnRejBillsCancellationLog,70,billing,rejected bill cancellation log
trnCCPayments,70,billing,company payments (retry)
mstReportStatus,69,billing,report status tracking
trnAppInvPRI,47,billing,invoice primary data
trnInvoiceTestLog,39,billing,invoice test log entries
mstMemPlanSEC,38,billing,secondary membership plan
tblTempLedgerOrg,35,billing,org ledger totals
mstMemPlans,33,billing,membership plans
mstMemPlanWiseBenefits,19,billing,plan benefits
trnTempBranchWiseColl,18,billing,branch collection summary (retry)
TRNCOMPPAYMENTSRENOVA,10,billing,company payments (retry)
mstHeaderPayType,9,billing,payment type header
mstTaxCategory,9,billing,tax categories
tblAppAgentTrack,9,billing,agent bill tracking
trnCompWiseConcessions,9,billing,invoice concessions
mstInvoiceSlipText,6,billing,invoice slip text
tblAppAgentAssignBill,6,billing,bill assignment to agent
mstConcePerson,4,billing,concession holders
mstCoupons,4,billing,coupon definitions
mstAppAdditionalCharges,3,billing,additional charge definitions
mstConceGiven,2,billing,concession names for billing
mstMemPlanPRI,2,billing,membership plan primary
mstMemPlansWiseAdditionalCharges,2,billing,additional charges
tblAppRepoCharges,2,billing,repository charge definitions
CC_Invoice,0,billing,invoice records
CC_InvoiceNew,0,billing,invoice records
Customers,0,billing,customer list
DayCollection_MobileApp,0,billing,daily collection summary
mstCCInvestigationRates,0,billing,pricing for investigations
mstCCReg,0,billing,client registration with balances
mstCouponInvDtls,0,billing,coupon usage details
mstDocDeptInvDiscount,0,billing,invoice discount
mstFiles,0,billing,billing attachment
mstLuxaryTax,0,billing,room tax for luxury rooms
mstOrgDeptDiscount,0,billing,department discount rates
mstRefDocAmtMapping,0,billing,doc amount mapping
