from_table,from_column,to_table,to_column,source,confidence
cc_invoice,LOCATIONID,mstlocationusers,Id,heuristic_name_match,medium
cc_invoice,UserID,tbl_callusers,Uid,heuristic_name_match,medium
cc_invoice,UserID,trnccusermapping,ID,heuristic_name_match,medium
cc_invoice,UserID,mstlocationusers,Id,heuristic_name_match,medium
cc_invoicenew,LOCATIONID,mstlocationusers,Id,heuristic_name_match,medium
cc_invoicenew,UserID,tbl_callusers,Uid,heuristic_name_match,medium
cc_invoicenew,UserID,trnccusermapping,ID,heuristic_name_match,medium
cc_invoicenew,UserID,mstlocationusers,Id,heuristic_name_match,medium
daycollection_mobileapp,LOCATIONID,mstlocationusers,Id,heuristic_name_match,medium
konnectstock,Itemid,mstitemtraymap,ID,heuristic_name_match,medium
konnectstock,Itemid,trnitemtrack,DeptId,heuristic_name_match,medium
konnectstock,Itemid,mstsubitemtype,UserID,heuristic_name_match,medium
konnectstock,Itemid,mstitemsubunit,ID,heuristic_name_match,medium
konnectstock,Itemid,mstitemdeptaccess,ID,heuristic_name_match,medium
konnectstock,Itemid,mstitemtype,UserID,heuristic_name_match,medium
konnectstock,Itemid,mstitemsr,ItemId,heuristic_name_match,medium
konnectstock,Itemid,mstitems,ItemId,heuristic_name_match,medium
konnectstock,Itemid,mstitemunit,UnitID,heuristic_name_match,medium
konnectstock,Itemid,mstitemunitmapping,ID,heuristic_name_match,medium
konnectstock,LOCATIONID,mstlocationusers,Id,heuristic_name_match,medium
mstagentleaves,AgentId,tblappagentnotification,id,heuristic_name_match,medium
mstagentleaves,AgentId,tblagentappdeviceregistration,id,heuristic_name_match,medium
mstagentleaves,AgentId,mstappagentleaves,ID,heuristic_name_match,medium
mstagentleaves,AgentId,mstappagentassigndispatchorders,ID,heuristic_name_match,medium
mstagentleaves,AgentId,mstagentmaster,ID,heuristic_name_match,medium
mstagentleaves,AgentId,tblappagentassignbill,id,heuristic_name_match,medium
mstagentleaves,AgentId,mstappagentareamapping,id,heuristic_name_match,medium
mstagentleaves,AgentId,mstappagentstatus,ID,heuristic_name_match,medium
mstagentleaves,LeaveId,mstappagentleaves,ID,heuristic_name_match,medium
mstagentleaves,LeaveId,mstempleaves,EmpId,heuristic_name_match,medium
mstagentmaster,LocationID,mstlocationusers,Id,heuristic_name_match,medium
mstantibiotics,LOCATIONID,mstlocationusers,Id,heuristic_name_match,medium
mstappadditionalcharges,LOCATIONID,mstlocationusers,Id,heuristic_name_match,medium
mstappagentareamapping,AgentId,tblappagentnotification,id,heuristic_name_match,medium
mstappagentareamapping,AgentId,tblagentappdeviceregistration,id,heuristic_name_match,medium
